batch,path,bytes,status
1,01 Branding/TOTFR_BRAND_MasterEmblem_Square_v01.webp,157128,pending
1,01 Branding/TOTFR_BRAND_MasterLogo_Horizontal_v01.webp,113622,pending
2,01 Branding/TOTFR_BRAND_SealedChronicle_v01.webp,113610,pending
2,02 Homepage/TOTFR_HOME_Background_Clean_v01.webp,97832,pending
3,02 Homepage/TOTFR_HOME_Hero_Title_v01.webp,101358,pending
3,03 Chapters/TOTFR_CH01_TheMissing_Banner_v01.webp,108196,pending
4,03 Chapters/TOTFR_CH02_ChildAndRobot_Banner_v01.webp,111304,pending
4,03 Chapters/TOTFR_CH03_WoundNeverHealed_Banner_v01.webp,109712,pending
5,03 Chapters/TOTFR_CH04_RootsOfOmen_Banner_v01.webp,106362,pending
5,03 Chapters/TOTFR_CH05_ConcealedMist_Banner_v01.webp,31926,pending
5,03 Chapters/TOTFR_NARRATIVE_IronKeyOpens_v01.webp,100218,pending
6,03 Chapters/TOTFR_NARRATIVE_UnmarkedPortals_v01.webp,97334,pending
6,03 Chapters/TOTFR_NARRATIVE_VendimarMystery_v01.webp,54626,pending
6,04 Categories/TOTFR_CAT_Ancestries_Cover_v01.webp,84060,pending
7,04 Categories/TOTFR_CAT_Backgrounds_Cover_v01.webp,95398,pending
7,04 Categories/TOTFR_CAT_BasesAndLairs_Cover_v01.webp,115742,pending
8,04 Categories/TOTFR_CAT_Creatures_Cover_v01.webp,113380,pending
8,04 Categories/TOTFR_CAT_Factions_Cover_v01.webp,110508,pending
9,04 Categories/TOTFR_CAT_Feats_Cover_v01.webp,112164,pending
9,04 Categories/TOTFR_CAT_Locations_Cover_v01.webp,107498,pending
10,04 Categories/TOTFR_CAT_MagicItems_Cover_v01.webp,100670,pending
10,04 Categories/TOTFR_CAT_NPCs_Cover_v01.webp,110010,pending
11,04 Categories/TOTFR_CAT_Narrative_Cover_v01.webp,117098,pending
11,04 Categories/TOTFR_CAT_Regions_Cover_v01.webp,93116,pending
12,04 Categories/TOTFR_CAT_Settlements_Cover_v01.webp,108332,pending
12,04 Categories/TOTFR_CAT_Shops_Cover_v01.webp,110534,pending
12,04 Categories/TOTFR_CAT_Spells_Cover_v01.webp,66248,pending
13,04 Categories/TOTFR_CAT_Subclasses_Cover_v01.webp,115132,pending
13,05 Locations/TOTFR_LOC_Braakport_Banner_v01.webp,92952,pending
14,05 Locations/TOTFR_LOC_HighForest_Banner_v01.webp,95612,pending
14,05 Locations/TOTFR_LOC_Neverwinter_Banner_v01.webp,108484,pending
15,05 Locations/TOTFR_LOC_PaleTree_Banner_v01.webp,109200,pending
15,05 Locations/TOTFR_LOC_SunkenCircleMarkers_Banner_v01.webp,83634,pending
16,05 Locations/TOTFR_LOC_WarforgedFactory_Banner_v01.webp,110864,pending
16,05 Locations/TOTFR_LOC_Waterdeep_Banner_v01.webp,114494,pending
17,05 Locations/TOTFR_LOC_WhiteBarkCamp_Banner_v01.webp,110848,pending
17,06 NPCs/TOTFR_NPC_Abbigail_Portrait_v01.webp,61938,pending
17,06 NPCs/TOTFR_NPC_BOLTS_Portrait_v01.webp,99666,pending
18,06 NPCs/TOTFR_NPC_CaelthornVire_Portrait_v01.webp,66832,pending
18,06 NPCs/TOTFR_NPC_EstebanBlackmane_Portrait_v01.webp,62246,pending
18,06 NPCs/TOTFR_NPC_Gorko_Portrait_v01.webp,49960,pending
19,06 NPCs/TOTFR_NPC_Kael_Portrait_v01.webp,62266,pending
19,06 NPCs/TOTFR_NPC_KalgorianMercius_Portrait_v01.webp,48278,pending
19,06 NPCs/TOTFR_NPC_LioraWhiteveil_Portrait_v01.webp,53276,pending
20,06 NPCs/TOTFR_NPC_MaerathThornkin_Portrait_v01.webp,63068,pending
20,06 NPCs/TOTFR_NPC_MagistrateVarrim_Portrait_v01.webp,54780,pending
20,06 NPCs/TOTFR_NPC_OrlaMoonspire_Portrait_v01.webp,57990,pending
21,06 NPCs/TOTFR_NPC_Reign_Portrait_v01.webp,53084,pending
21,06 NPCs/TOTFR_NPC_RowanBriarblood_Portrait_v01.webp,64648,pending
21,06 NPCs/TOTFR_NPC_Salara_Portrait_v01.webp,76850,pending
22,06 NPCs/TOTFR_NPC_SerKaelynThrynn_Portrait_v01.webp,58774,pending
22,06 NPCs/TOTFR_NPC_Vendimar_Portrait_v01.webp,72570,pending
22,06 NPCs/TOTFR_NPC_WardenSera_Portrait_v01.webp,67006,pending
23,06 NPCs/TOTFR_NPC_XerthulZar_Portrait_v01.webp,80304,pending
23,07 Factions/TOTFR_FACTION_Brassrun_Banner_v01.webp,100896,pending
23,07 Factions/TOTFR_FACTION_Brassrun_Crest_v01.png,5643,pending
24,07 Factions/TOTFR_FACTION_ChorusOfWounds_Banner_v01.webp,105122,pending
24,07 Factions/TOTFR_FACTION_ChorusOfWounds_Crest_v01.png,5733,pending
24,07 Factions/TOTFR_FACTION_Ironmere_Banner_v01.webp,100138,pending
25,07 Factions/TOTFR_FACTION_Ironmere_Crest_v01.png,4426,pending
25,07 Factions/TOTFR_FACTION_RedRootCircle_Banner_v01.webp,102742,pending
25,07 Factions/TOTFR_FACTION_RedRootCircle_Crest_v01.png,5468,pending
26,07 Factions/TOTFR_FACTION_SunkenCircle_Banner_v01.webp,104666,pending
26,07 Factions/TOTFR_FACTION_SunkenCircle_Crest_v01.png,5424,pending
26,07 Factions/TOTFR_FACTION_WardensOfWaterdeep_Banner_v01.webp,105294,pending
27,07 Factions/TOTFR_FACTION_WardensOfWaterdeep_Crest_v01.png,5258,pending
27,07 Factions/TOTFR_FACTION_WhiteBarkCircle_Banner_v01.webp,102734,pending
27,07 Factions/TOTFR_FACTION_WhiteBarkCircle_Crest_v01.png,5092,pending
28,08 Creatures/TOTFR_CREATURE_CrystalFiend_v01.webp,50616,pending
28,08 Creatures/TOTFR_CREATURE_WarforgedTitanRendr_v01.webp,41388,pending
28,09 Magic Items/TOTFR_ITEM_AnchorHeart_v01.webp,77394,pending
29,09 Magic Items/TOTFR_ITEM_IronKey_v01.webp,98540,pending
29,09 Magic Items/TOTFR_ITEM_PortalMap_v01.webp,93696,pending
29,09 Magic Items/TOTFR_ITEM_SpellsaberHilt_v01.webp,103510,pending
30,10 Utility/TOTFR_UTIL_Areas_Cover_v01.webp,86374,pending
30,10 Utility/TOTFR_UTIL_Clues_Cover_v01.webp,95468,pending
30,10 Utility/TOTFR_UTIL_DMSecrets_Cover_v01.webp,66880,pending
31,10 Utility/TOTFR_UTIL_EncounterTracker_Cover_v01.webp,113070,pending
31,10 Utility/TOTFR_UTIL_Handouts_Cover_v01.webp,89380,pending
32,10 Utility/TOTFR_UTIL_IdeaNotebook_Cover_v01.webp,99452,pending
32,10 Utility/TOTFR_UTIL_Player01_Cover_v01.webp,95288,pending
32,10 Utility/TOTFR_UTIL_Player02_Cover_v01.webp,103710,pending
33,10 Utility/TOTFR_UTIL_Player03_Cover_v01.webp,89776,pending
33,10 Utility/TOTFR_UTIL_Player04_Cover_v01.webp,95316,pending
33,10 Utility/TOTFR_UTIL_Player05_Cover_v01.webp,103818,pending
34,10 Utility/TOTFR_UTIL_Player06_Cover_v01.webp,89756,pending
34,10 Utility/TOTFR_UTIL_PlotHooks_Cover_v01.webp,87084,pending
34,10 Utility/TOTFR_UTIL_Puzzles_Cover_v01.webp,108178,pending
35,10 Utility/TOTFR_UTIL_Quests_Cover_v01.webp,67952,pending
35,10 Utility/TOTFR_UTIL_Scenes_Cover_v01.webp,73508,pending
35,10 Utility/TOTFR_UTIL_SessionNotes_Cover_v01.webp,93560,pending
36,10 Utility/TOTFR_UTIL_StoryArcs_Cover_v01.webp,69056,pending
36,10 Utility/TOTFR_UTIL_Traps_Cover_v01.webp,81888,pending
36,12 Decorative/TOTFR_DIVIDER_Arcane_v01.png,2487,pending
37,12 Decorative/TOTFR_DIVIDER_Celestial_v01.png,2409,pending
37,12 Decorative/TOTFR_DIVIDER_Industrial_v01.png,2772,pending
37,12 Decorative/TOTFR_DIVIDER_Manuscript_v01.png,1749,pending
38,12 Decorative/TOTFR_DIVIDER_Roots_v01.png,2393,pending
38,12 Decorative/TOTFR_DIVIDER_Seal_v01.png,2396,pending
38,12 Decorative/TOTFR_ICON_Book_v01.png,4096,pending
39,12 Decorative/TOTFR_ICON_Map_v01.png,4817,pending
39,12 Decorative/TOTFR_ICON_Mask_v01.png,4927,pending
39,12 Decorative/TOTFR_ICON_Rune_v01.png,4865,pending
40,12 Decorative/TOTFR_ICON_Shield_v01.png,5232,pending
40,12 Decorative/TOTFR_ICON_Sword_v01.png,4486,pending
40,12 Decorative/TOTFR_NAV_Campaign_Poster_v01.webp,84602,pending
41,12 Decorative/TOTFR_NAV_CharacterOptions_Poster_v01.webp,113754,pending
41,12 Decorative/TOTFR_NAV_Dungeon_Poster_v01.webp,68856,pending
41,12 Decorative/TOTFR_NAV_Narrative_Poster_v01.webp,103318,pending
42,12 Decorative/TOTFR_NAV_WorldBuilding_Poster_v01.webp,115994,pending
42,12 Decorative/TOTFR_TITLE_CHIII_v01.png,96897,pending
43,12 Decorative/TOTFR_TITLE_CHII_v01.png,93915,pending
43,12 Decorative/TOTFR_TITLE_CHIV_v01.png,90229,pending
43,12 Decorative/TOTFR_TITLE_CHI_v01.png,74373,pending
